indic_ur;cities;TIME_PERIOD;OBS_VALUE;OBS_FLAG;Observation status (Flag) V2 structure;CONF_STATUS;Confidentiality status (flag)
TE1001I;AT;2001;354;;;;
TE1001I;AT;2004;367;;;;
TE1001I;AT;2005;248;;;;
TE1001I;AT;2006;254;;;;
TE1001I;AT;2007;262;;;;
TE1001I;AT;2008;278;;;;
TE1001I;AT;2009;291;;;;
TE1001I;AT;2013;492;;;;
TE1001I;AT;2014;508;;;;
TE1001I;AT001C;1991;327;;;;
TE1001I;AT001C;1996;380;;;;
TE1001I;AT001C;2001;78;;;;
TE1001I;AT001C;2004;453;;;;
TE1001I;AT001C;2005;298;;;;
TE1001I;AT001C;2006;298;;;;
TE1001I;AT001C;2007;305;;;;
TE1001I;AT001C;2008;324;;;;
TE1001I;AT001C;2009;331;;;;
TE1001I;AT001C;2013;592;;;;
TE1001I;AT001C;2014;613;;;;
TE1001I;AT002C;1991;228;;;;
TE1001I;AT002C;2001;424;;;;
TE1001I;AT002C;2004;407;;;;
TE1001I;AT002C;2005;261;;;;
TE1001I;AT002C;2006;259;;;;
TE1001I;AT002C;2007;261;;;;
TE1001I;AT002C;2008;269;;;;
TE1001I;AT002C;2009;273;;;;
TE1001I;AT002C;2013;463;;;;
TE1001I;AT002C;2014;489;;;;
TE1001I;AT003C;1991;310;;;;
TE1001I;AT003C;2001;468;;;;
TE1001I;AT003C;2004;465;;;;
TE1001I;AT003C;2005;296;;;;
TE1001I;AT003C;2006;292;;;;
TE1001I;AT003C;2007;296;;;;
TE1001I;AT003C;2008;302;;;;
TE1001I;AT003C;2009;320;;;;
TE1001I;AT003C;2013;493;;;;
TE1001I;AT003C;2014;499;;;;
TE1001I;AT004C;2001;459;;;;
TE1001I;AT004C;2004;448;;;;
TE1001I;AT004C;2005;300;;;;
TE1001I;AT004C;2006;297;;;;
TE1001I;AT004C;2007;282;;;;
TE1001I;AT004C;2008;303;;;;
TE1001I;AT004C;2009;308;;;;
TE1001I;AT004C;2013;505;;;;
TE1001I;AT004C;2014;534;;;;
TE1001I;AT005C;2001;416;;;;
TE1001I;AT005C;2004;423;;;;
TE1001I;AT005C;2005;328;;;;
TE1001I;AT005C;2006;329;;;;
TE1001I;AT005C;2007;349;;;;
TE1001I;AT005C;2008;357;;;;
TE1001I;AT005C;2009;371;;;;
TE1001I;AT005C;2013;571;;;;
TE1001I;AT005C;2014;573;;;;
TE1001I;AT006C;2013;553;;;;
TE1001I;AT006C;2014;572;;;;
TE1001I;BE;1991;104;;;;
TE1001I;BE;1992;113;;;;
TE1001I;BE;1993;122;;;;
TE1001I;BE;1994;130;;;;
TE1001I;BE;1995;135;;;;
TE1001I;BE;1996;138;;;;
TE1001I;BE;1997;140;;;;
TE1001I;BE;1998;148;;;;
TE1001I;BE;1999;153;;;;
TE1001I;BE;2000;155;;;;
TE1001I;BE;2001;160;;;;
TE1001I;BE;2002;165;;;;
TE1001I;BE;2004;222;;;;
TE1001I;BE001C;1996;182;;;;
TE1001I;BE001C;2004;262;;;;
TE1001I;BE001C;2005;249;;;;
TE1001I;BE001C;2006;249;;;;
TE1001I;BE001C;2007;242;;;;
TE1001I;BE001C;2008;237;;;;
TE1001I;BE001C;2009;249;;;;
TE1001I;BE002C;1996;111;;;;
TE1001I;BE002C;2004;165;;;;
TE1001I;BE002C;2005;167;;;;
TE1001I;BE002C;2006;172;;;;
TE1001I;BE002C;2007;173;;;;
TE1001I;BE002C;2008;172;;;;
TE1001I;BE002C;2009;170;;;;
TE1001I;BE003C;1996;188;;;;
TE1001I;BE003C;2004;293;;;;
TE1001I;BE003C;2005;302;;;;
TE1001I;BE003C;2006;312;;;;
TE1001I;BE003C;2007;325;;;;
TE1001I;BE003C;2008;316;;;;
TE1001I;BE003C;2009;307;;;;
TE1001I;BE004C;1996;52;;;;
TE1001I;BE004C;2004;127;;;;
TE1001I;BE004C;2005;122;;;;
TE1001I;BE004C;2006;134;;;;
TE1001I;BE004C;2007;136;;;;
TE1001I;BE004C;2008;145;;;;
TE1001I;BE004C;2009;142;;;;
TE1001I;BE005C;1996;162;;;;
TE1001I;BE005C;2001;180;;;;
TE1001I;BE005C;2004;274;;;;
TE1001I;BE005C;2005;167;;;;
TE1001I;BE005C;2006;172;;;;
TE1001I;BE005C;2007;174;;;;
TE1001I;BE005C;2008;181;;;;
TE1001I;BE005C;2009;178;;;;
TE1001I;BE006C;1996;116;;;;
TE1001I;BE006C;2004;275;;;;
TE1001I;BE006C;2005;307;;;;
TE1001I;BE006C;2006;317;;;;
TE1001I;BE006C;2007;342;;;;
TE1001I;BE006C;2008;378;;;;
