indic_ur;cities;TIME_PERIOD;OBS_VALUE;OBS_FLAG;Observation status (Flag) V2 structure;CONF_STATUS;Confidentiality status (flag)
EN1002V;AT001C;2000;;;;C;confidential
EN1002V;AT001C;2004;5.30;;;;
EN1002V;AT002C;2001;5.76;;;;
EN1002V;AT002C;2004;5.13;;;;
EN1002V;AT003C;2001;4.66;;;;
EN1002V;AT003C;2004;4.86;;;;
EN1002V;AT004C;2001;4.79;;;;
EN1002V;AT004C;2004;4.60;;;;
EN1002V;AT005C;2001;4.63;;;;
EN1002V;AT005C;2004;5.25;;;;
EN1002V;BE;1991;4.60;;;;
EN1002V;BE;1992;4.10;;;;
EN1002V;BE;1993;3.90;;;;
EN1002V;BE;1994;4.20;;;;
EN1002V;BE;1995;4.50;;;;
EN1002V;BE;1996;4.30;;;;
EN1002V;BE;1997;4.70;;;;
EN1002V;BE;1998;3.60;;;;
EN1002V;BE;1999;4.40;;;;
EN1002V;BE;2000;3.80;;;;
EN1002V;BE;2001;4.00;;;;
EN1002V;BE;2002;4.10;;;;
EN1002V;BE;2003;5.40;;;;
EN1002V;BE001C;1990;4.25;;;;
EN1002V;BE001C;2008;4.06;;;;
EN1002V;BE001C;2011;5.00;;;;
EN1002V;BE002C;1990;4.44;;;;
EN1002V;BE002C;2008;4.06;;;;
EN1002V;BE002C;2011;5.00;;;;
EN1002V;BE003C;1990;4.45;;;;
EN1002V;BE003C;2008;5.15;;;;
EN1002V;BE003C;2011;5.00;;;;
EN1002V;BE004C;1990;4.19;;;;
EN1002V;BE004C;2008;3.31;;;;
EN1002V;BE004C;2011;5.00;;;;
EN1002V;BE005C;1990;4.33;;;;
EN1002V;BE005C;2008;4.45;;;;
EN1002V;BE005C;2011;5.00;;;;
EN1002V;BE006C;1990;4.71;;;;
EN1002V;BE006C;2008;4.52;;;;
EN1002V;BE006C;2011;5.00;;;;
EN1002V;BE007C;2001;3.10;;;;
EN1002V;BE007C;2008;4.41;;;;
EN1002V;BE007C;2011;5.00;;;;
EN1002V;BE008C;2011;5.00;;;;
EN1002V;BE009C;2011;5.00;;;;
EN1002V;BE010C;2011;5.00;;;;
EN1002V;BE011C;2011;5.00;;;;
EN1002V;BG001C;2001;6.22;;;;
EN1002V;BG002C;2001;6.37;;;;
EN1002V;BG003C;2001;6.66;;;;
EN1002V;BG004C;2001;6.66;;;;
EN1002V;BG005C;2001;5.97;;;;
