indic_ur;cities;TIME_PERIOD;OBS_VALUE;OBS_FLAG;Observation status (Flag) V2 structure;CONF_STATUS;Confidentiality status (flag)
CR1003I;AT;1997;9;;;;
CR1003I;AT;1998;9;;;;
CR1003I;AT001C;2001;24;;;;
CR1003I;AT001C;2004;19;;;;
CR1003I;AT002C;2001;35;;;;
CR1003I;AT002C;2004;34;;;;
CR1003I;AT003C;2001;23;;;;
CR1003I;AT003C;2004;17;;;;
CR1003I;AT003C;2008;17;;;;
CR1003I;AT004C;2001;25;;;;
CR1003I;AT004C;2004;25;;;;
CR1003I;AT004C;2008;25;;;;
CR1003I;AT005C;2001;33;;;;
CR1003I;AT005C;2004;32;;;;
CR1003I;AT005C;2008;31;;;;
CR1003I;BE;1991;9;;;;
CR1003I;BE;1992;9;;;;
CR1003I;BE;1993;10;;;;
CR1003I;BE;1994;10;;;;
CR1003I;BE;1995;10;;;;
CR1003I;BE;1996;10;;;;
CR1003I;BE;1997;10;;;;
CR1003I;BE;1998;11;;;;
CR1003I;BE;1999;11;;;;
CR1003I;BE;2000;10;;;;
CR1003I;BE;2001;11;;;;
CR1003I;BE;2002;11;;;;
CR1003I;BE001C;2002;17;;;;
CR1003I;BE001C;2004;15;;;;
CR1003I;BE001C;2008;15;;;;
CR1003I;BE001C;2011;13;;;;
CR1003I;BE001C;2021;;;;C;confidential
CR1003I;BE001C;2022;;;;C;confidential
CR1003I;BE001C;2023;;;;C;confidential
CR1003I;BE002C;2002;28;;;;
CR1003I;BE002C;2004;27;;;;
CR1003I;BE002C;2008;26;;;;
CR1003I;BE002C;2011;25;;;;
CR1003I;BE002C;2021;;;;C;confidential
CR1003I;BE002C;2022;;;;C;confidential
CR1003I;BE002C;2023;;;;C;confidential
CR1003I;BE003C;2002;22;;;;
CR1003I;BE003C;2004;20;;;;
CR1003I;BE003C;2008;19;;;;
CR1003I;BE003C;2011;19;;;;
CR1003I;BE003C;2021;;;;C;confidential
CR1003I;BE003C;2022;;;;C;confidential
CR1003I;BE003C;2023;;;;C;confidential
CR1003I;BE004C;2002;29;;;;
CR1003I;BE004C;2004;21;;;;
CR1003I;BE004C;2008;19;;;;
CR1003I;BE004C;2011;18;;;;
CR1003I;BE004C;2021;;;;C;confidential
CR1003I;BE004C;2022;;;;C;confidential
CR1003I;BE004C;2023;;;;C;confidential
CR1003I;BE005C;2002;23;;;;
CR1003I;BE005C;2004;28;;;;
CR1003I;BE005C;2008;25;;;;
CR1003I;BE005C;2011;21;;;;
CR1003I;BE005C;2021;;;;C;confidential
CR1003I;BE005C;2022;;;;C;confidential
CR1003I;BE005C;2023;;;;C;confidential
CR1003I;BE006C;2002;5;;;;
CR1003I;BE006C;2004;5;;;;
CR1003I;BE006C;2008;16;;;;
CR1003I;BE006C;2011;16;;;;
CR1003I;BE006C;2021;;;;C;confidential
CR1003I;BE006C;2022;;;;C;confidential
CR1003I;BE006C;2023;;;;C;confidential
CR1003I;BE007C;2004;47;;;;
CR1003I;BE007C;2008;45;;;;
CR1003I;BE007C;2011;40;;;;
CR1003I;BE007C;2021;;;;C;confidential
CR1003I;BE007C;2022;;;;C;confidential
CR1003I;BE007C;2023;;;;C;confidential
CR1003I;BE008C;2011;19;;;;
CR1003I;BE008C;2021;;;;C;confidential
CR1003I;BE008C;2022;;;;C;confidential
CR1003I;BE008C;2023;;;;C;confidential
CR1003I;BE009C;2011;43;;;;
CR1003I;BE009C;2021;;;;C;confidential
CR1003I;BE009C;2022;;;;C;confidential
CR1003I;BE009C;2023;;;;C;confidential
CR1003I;BE010C;2011;39;;;;
CR1003I;BE010C;2021;;;;C;confidential
CR1003I;BE010C;2022;;;;C;confidential
CR1003I;BE010C;2023;;;;C;confidential
CR1003I;BE011C;2011;38;;;;
CR1003I;BE011C;2021;;;;C;confidential
CR1003I;BE011C;2022;;;;C;confidential
CR1003I;BE011C;2023;;;;C;confidential
CR1003I;BE012C;2021;;;;C;confidential
CR1003I;BE012C;2022;;;;C;confidential
CR1003I;BE012C;2023;;;;C;confidential
CR1003I;BE013C;2021;;;;C;confidential
CR1003I;BE013C;2022;;;;C;confidential
CR1003I;BE013C;2023;;;;C;confidential
CR1003I;BE014C;2021;;;;C;confidential
CR1003I;BE014C;2022;;;;C;confidential
CR1003I;BE014C;2023;;;;C;confidential
CR1003I;BE015C;2021;;;;C;confidential
CR1003I;BE015C;2022;;;;C;confidential
CR1003I;BE015C;2023;;;;C;confidential
CR1003I;BG;1999;10;;;;
CR1003I;BG;2000;9;;;;
CR1003I;BG;2011;4;;;;
CR1003I;BG;2012;4;e;estimated;;
CR1003I;BG;2013;4;e;estimated;;
CR1003I;BG;2014;5;e;estimated;;
CR1003I;BG;2015;5;;;;
CR1003I;BG;2016;5;;;;
CR1003I;BG;2017;6;;;;
CR1003I;BG;2018;6;;;;
CR1003I;BG;2019;6;;;;
CR1003I;BG;2020;5;;;;
CR1003I;BG001C;2000;9;;;;
CR1003I;BG001C;2003;15;;;;
CR1003I;BG001C;2009;15;;;;
CR1003I;BG001C;2011;14;e;estimated;;
CR1003I;BG001C;2012;13;e;estimated;;
CR1003I;BG001C;2013;15;e;estimated;;
CR1003I;BG001C;2014;16;e;estimated;;
CR1003I;BG001C;2015;16;;;;
CR1003I;BG001C;2016;14;;;;
CR1003I;BG001C;2017;16;;;;
CR1003I;BG001C;2018;15;;;;
CR1003I;BG001C;2019;15;;;;
CR1003I;BG001C;2020;9;;;;
CR1003I;BG001C;2021;10;;;;
CR1003I;BG001C;2022;11;;;;
CR1003I;BG002C;2000;5;;;;
CR1003I;BG002C;2003;9;;;;
CR1003I;BG002C;2009;8;;;;
CR1003I;BG002C;2011;7;e;estimated;;
CR1003I;BG002C;2012;9;e;estimated;;
CR1003I;BG002C;2013;9;e;estimated;;
CR1003I;BG002C;2014;8;e;estimated;;
CR1003I;BG002C;2015;8;;;;
CR1003I;BG002C;2016;11;;;;
CR1003I;BG002C;2017;11;;;;
CR1003I;BG002C;2018;10;;;;
CR1003I;BG002C;2019;6;;;;
CR1003I;BG002C;2020;10;;;;
CR1003I;BG002C;2021;10;;;;
CR1003I;BG002C;2022;10;;;;
CR1003I;BG003C;2000;9;;;;
CR1003I;BG003C;2003;7;;;;
CR1003I;BG003C;2009;;;;C;confidential
CR1003I;BG003C;2011;11;e;estimated;;
CR1003I;BG003C;2012;10;e;estimated;;
CR1003I;BG003C;2013;10;e;estimated;;
CR1003I;BG003C;2014;10;e;estimated;;
CR1003I;BG003C;2015;12;;;;
CR1003I;BG003C;2016;13;;;;
CR1003I;BG003C;2017;13;;;;
CR1003I;BG003C;2018;13;;;;
CR1003I;BG003C;2019;20;;;;
CR1003I;BG003C;2020;20;;;;
CR1003I;BG003C;2021;20;;;;
CR1003I;BG003C;2022;18;;;;
CR1003I;BG004C;2000;14;;;;
CR1003I;BG004C;2003;8;;;;
CR1003I;BG004C;2009;;;;C;confidential
CR1003I;BG004C;2011;2;e;estimated;;
CR1003I;BG004C;2012;8;e;estimated;;
CR1003I;BG004C;2013;8;e;estimated;;
CR1003I;BG004C;2014;14;e;estimated;;
CR1003I;BG004C;2015;8;;;;
CR1003I;BG004C;2016;8;;;;
CR1003I;BG004C;2017;8;;;;
CR1003I;BG004C;2018;8;;;;
CR1003I;BG004C;2019;8;;;;
CR1003I;BG004C;2020;8;;;;
CR1003I;BG004C;2021;8;;;;
CR1003I;BG004C;2022;8;;;;
CR1003I;BG005C;2000;20;;;;
CR1003I;BG005C;2003;9;;;;
CR1003I;BG005C;2009;0;;;;
CR1003I;BG005C;2011;1;e;estimated;;
CR1003I;BG005C;2012;1;e;estimated;;
CR1003I;BG005C;2013;1;e;estimated;;
CR1003I;BG005C;2014;5;e;estimated;;
CR1003I;BG005C;2015;5;;;;
CR1003I;BG005C;2016;5;;;;
CR1003I;BG005C;2017;7;;;;
CR1003I;BG005C;2018;5;;;;
CR1003I;BG005C;2019;5;;;;
CR1003I;BG005C;2020;6;;;;
CR1003I;BG005C;2021;6;;;;
CR1003I;BG005C;2022;6;;;;
CR1003I;BG006C;2000;4;;;;
CR1003I;BG006C;2003;3;;;;
CR1003I;BG006C;2009;0;;;;
CR1003I;BG006C;2011;16;e;estimated;;
CR1003I;BG006C;2012;14;e;estimated;;
CR1003I;BG006C;2013;13;e;estimated;;
CR1003I;BG006C;2014;13;e;estimated;;
CR1003I;BG006C;2015;13;;;;
CR1003I;BG006C;2016;13;;;;
CR1003I;BG006C;2017;13;;;;
CR1003I;BG006C;2018;13;;;;
CR1003I;BG006C;2019;13;;;;
CR1003I;BG006C;2020;17;;;;
CR1003I;BG006C;2021;14;;;;
CR1003I;BG006C;2022;14;;;;
CR1003I;BG007C;2000;12;;;;
CR1003I;BG007C;2003;13;;;;
CR1003I;BG007C;2009;0;;;;
CR1003I;BG007C;2011;0;e;estimated;;
CR1003I;BG007C;2012;0;e;estimated;;
CR1003I;BG007C;2013;0;e;estimated;;
CR1003I;BG007C;2014;3;e;estimated;;
CR1003I;BG007C;2015;3;;;;
CR1003I;BG007C;2016;3;;;;
CR1003I;BG007C;2017;3;;;;
CR1003I;BG007C;2018;3;;;;
CR1003I;BG007C;2019;3;;;;
CR1003I;BG007C;2020;3;;;;
CR1003I;BG007C;2021;4;;;;
CR1003I;BG007C;2022;4;;;;
CR1003I;BG008C;2009;10;;;;
CR1003I;BG008C;2011;16;e;estimated;;
CR1003I;BG008C;2012;17;e;estimated;;
CR1003I;BG008C;2013;16;e;estimated;;
CR1003I;BG008C;2014;16;e;estimated;;
CR1003I;BG008C;2015;16;;;;
CR1003I;BG008C;2016;17;;;;
CR1003I;BG008C;2017;16;;;;
CR1003I;BG008C;2018;17;;;;
CR1003I;BG008C;2019;17;;;;
CR1003I;BG008C;2020;17;;;;
CR1003I;BG008C;2021;18;;;;
CR1003I;BG008C;2022;10;;;;
CR1003I;BG009C;2011;2;e;estimated;;
CR1003I;BG009C;2012;1;e;estimated;;
CR1003I;BG009C;2013;1;e;estimated;;
CR1003I;BG009C;2014;1;e;estimated;;
CR1003I;BG009C;2015;1;;;;
CR1003I;BG009C;2016;1;;;;
CR1003I;BG009C;2017;1;;;;
CR1003I;BG009C;2018;1;;;;
CR1003I;BG009C;2019;2;;;;
CR1003I;BG009C;2020;2;;;;
CR1003I;BG009C;2021;2;;;;
CR1003I;BG009C;2022;2;;;;
CR1003I;BG010C;2011;1;e;estimated;;
CR1003I;BG010C;2012;1;e;estimated;;
CR1003I;BG010C;2013;1;e;estimated;;
CR1003I;BG010C;2014;1;e;estimated;;
CR1003I;BG010C;2015;1;;;;
CR1003I;BG010C;2016;1;;;;
CR1003I;BG010C;2017;1;;;;
CR1003I;BG010C;2018;1;;;;
CR1003I;BG010C;2019;1;;;;
CR1003I;BG010C;2020;1;;;;
CR1003I;BG010C;2021;1;;;;
CR1003I;BG010C;2022;1;;;;
CR1003I;BG011C;2011;8;e;estimated;;
CR1003I;BG011C;2012;0;e;estimated;;
CR1003I;BG011C;2013;0;e;estimated;;
CR1003I;BG011C;2014;3;e;estimated;;
CR1003I;BG011C;2015;3;;;;
CR1003I;BG011C;2016;3;;;;
CR1003I;BG011C;2017;5;;;;
CR1003I;BG011C;2018;5;;;;
CR1003I;BG011C;2019;5;;;;
CR1003I;BG011C;2020;5;;;;
CR1003I;BG011C;2021;5;;;;
CR1003I;BG011C;2022;8;;;;
CR1003I;BG012C;2011;0;e;estimated;;
CR1003I;BG012C;2012;0;e;estimated;;
CR1003I;BG012C;2013;0;e;estimated;;
