indic_ur;cities;TIME_PERIOD;OBS_VALUE;OBS_FLAG;Observation status (Flag) V2 structure;CONF_STATUS;Confidentiality status (flag)
TT1003V;AT001C;1991;41.44;;;;
TT1003V;AT001C;2001;41.05;;;;
TT1003V;AT002C;1991;55.68;;;;
TT1003V;AT002C;2001;61.04;;;;
TT1003V;AT003C;1991;55.59;;;;
TT1003V;AT003C;2001;64.87;;;;
TT1003V;BE;1991;63.09;;;;
TT1003V;BE;2008;77.78;;;;
TT1003V;BE;2011;67.00;;;;
TT1003V;BE001C;1991;53.45;;;;
TT1003V;BE001C;2008;47.46;;;;
TT1003V;BE001C;2011;48.50;;;;
TT1003V;BE002C;1991;54.65;;;;
TT1003V;BE002C;2008;56.25;;;;
TT1003V;BE003C;1991;56.23;;;;
TT1003V;BE003C;2008;64.97;;;;
TT1003V;BE004C;1991;66.98;;;;
TT1003V;BE004C;2008;86.14;;;;
TT1003V;BE005C;1991;62.57;;;;
TT1003V;BE005C;2008;82.86;;;;
TT1003V;BE005C;2011;81.54;;;;
TT1003V;BE006C;1991;52.54;;;;
TT1003V;BE006C;2008;62.63;;;;
TT1003V;BE006C;2011;59.42;;;;
TT1003V;BE007C;2008;73.45;;;;
TT1003V;BE007C;2011;75.82;;;;
TT1003V;BE008C;2011;60.46;;;;
TT1003V;BE009C;2011;80.50;;;;
TT1003V;BE010C;2011;72.86;;;;
TT1003V;BE011C;2011;61.27;;;;
TT1003V;BG;2011;27.36;e;estimated;;
TT1003V;BG001C;2008;27.00;;;;
TT1003V;BG001C;2011;26.00;e;estimated;;
TT1003V;BG002C;2008;24.00;;;;
TT1003V;BG002C;2011;24.00;e;estimated;;
TT1003V;BG003C;2008;23.00;;;;
TT1003V;BG003C;2011;27.00;e;estimated;;
TT1003V;BG004C;2008;21.00;;;;
TT1003V;BG004C;2011;21.00;e;estimated;;
TT1003V;BG005C;2008;23.00;;;;
TT1003V;BG005C;2011;22.00;e;estimated;;
TT1003V;BG006C;2008;22.00;;;;
TT1003V;BG006C;2011;22.00;e;estimated;;
