CODE;Label - English;Label - French;Label - German
DE1001V;Population on the 1st of January, total;Population au 1er janvier, total;Bevölkerung am 1. Januar, insgesamt
DE1002V;Population on the 1st of January, male;Population au 1er janvier, hommes;Bevölkerung am 1. Januar, männlich
DE1003V;Population on the 1st of January, female;Population au 1er janvier, femmes;Bevölkerung am 1. Januar, weiblich
DE1040V;Population on the 1st of January, 0-4 years, total;Population au 1er janvier, de 0 à 4 ans, total;Bevölkerung am 1. Januar im Alter von 0 bis 4 Jahren, insgesamt
DE1041V;Population on the 1st of January, 0-4 years, male;Population au 1er janvier, de 0 à 4 ans, hommes;Bevölkerung am 1. Januar im Alter von 0 bis 4 Jahren, männlich
DE1042V;Population on the 1st of January, 0-4 years, female;Population au 1er janvier, de 0 à 4 ans, femmes;Bevölkerung am 1. Januar im Alter von 0 bis 4 Jahren, weiblich
DE1074V;Population on the 1st of January, 5-9 years, total;Population au 1er janvier, de 5 à 9 ans, total;Bevölkerung am 1. Januar im Alter von 5 bis 9 Jahren, insgesamt
DE1075V;Population on the 1st of January, 5-9 years, male;Population au 1er janvier, de 5 à 9 ans, hommes;Bevölkerung am 1. Januar im Alter von 5 bis 9 Jahren, männlich
DE1076V;Population on the 1st of January, 5-9 years, female;Population au 1er janvier, de 5 à 9 ans, femmes;Bevölkerung am 1. Januar im Alter von 5 bis 9 Jahren, weiblich
DE1077V;Population on the 1st of January, 10-14 years, total;Population au 1er janvier, de 10 à 14 ans, total;Bevölkerung am 1. Januar im Alter von 10 bis 14 Jahren, insgesamt
DE1078V;Population on the 1st of January, 10-14 years, male;Population au 1er janvier, de 10 à 14 ans, hommes;Bevölkerung am 1. Januar im Alter von 10 bis 14 Jahren, männlich
DE1079V;Population on the 1st of January, 10-14 years, female;Population au 1er janvier, de 10 à 14 ans, femmes;Bevölkerung am 1. Januar im Alter von 10 bis 14 Jahren, weiblich
DE1046V;Population on the 1st of January, 15-19 years, total;Population au 1er janvier, de 15 à 19 ans, total;Bevölkerung am 1. Januar im Alter von 15 bis 19 Jahren, insgesamt
DE1047V;Population on the 1st of January, 15-19 years, male;Population au 1er janvier, de 15 à 19 ans, hommes;Bevölkerung am 1. Januar im Alter von 15 bis 19 Jahren, männlich
DE1048V;Population on the 1st of January, 15-19 years, female;Population au 1er janvier, de 15 à 19 ans, femmes;Bevölkerung am 1. Januar im Alter von 15 bis 19 Jahren, weiblich
DE1049V;Population on the 1st of January, 20-24 years, total;Population au 1er janvier, de 20 à 24 ans, total;Bevölkerung am 1. Januar im Alter von 20 bis 24 Jahren, insgesamt
DE1050V;Population on the 1st of January, 20-24 years, male;Population au 1er janvier, de 20 à 24 ans, hommes;Bevölkerung am 1. Januar im Alter von 20 bis 24 Jahren, männlich
DE1051V;Population on the 1st of January, 20-24 years, female;Population au 1er janvier, de 20 à 24 ans, femmes;Bevölkerung am 1. Januar im Alter von 20 bis 24 Jahren, weiblich
DE1101V;Population on the 1st of January, 25-29 years, total;Population au 1er janvier, de 25 à 29 ans, total;Bevölkerung am 1. Januar im Alter von 25 bis 29 Jahren, insgesamt
DE1102V;Population on the 1st of January, 25-29 years, male;Population au 1er janvier, de 25 à 29 ans, hommes;Bevölkerung am 1. Januar im Alter von 25 bis 29 Jahren, männlich
DE1103V;Population on the 1st of January, 25-29 years, female;Population au 1er janvier, de 25 à 29 ans, femmes;Bevölkerung am 1. Januar im Alter von 25 bis 29 Jahren, weiblich
